Time outerCorrector residual
0.011 1 0.0737747
0.011 2 0.0737459
0.011 3 0.0848396
0.011 4 0.0322297
0.011 5 0.0021367
0.011 6 0.000946069
0.011 7 0.000508149
0.011 8 0.000180403
0.011 9 1.95332e-05
0.0112 1 0.199358
0.0112 2 0.199266
0.0112 3 0.102084
0.0112 4 0.118187
0.0112 5 0.00987771
0.0112 6 0.00200027
0.0112 7 0.000895422
0.0112 8 0.000448616
0.0112 9 7.3036e-05
0.0114 1 0.414866
0.0114 2 0.41457
0.0114 3 0.137031
0.0114 4 0.202684
0.0114 5 0.0174955
0.0114 6 0.00313468
0.0114 7 0.00120587
0.0114 8 0.000579595
0.0114 9 0.000177942
0.0114 10 3.87503e-06
0.0116 1 0.96592
0.0116 2 0.965059
0.0116 3 0.234562
0.0116 4 0.380224
0.0116 5 0.0322829
0.0116 6 0.00565945
0.0116 7 0.00168852
0.0116 8 0.000771221
0.0116 9 0.000976247
0.0116 10 0.000468507
0.0116 11 0.000154994
0.0116 12 3.79199e-05
0.0118 1 1
0.0118 2 0.999088
0.0118 3 0.208711
0.0118 4 0.356556
0.0118 5 0.0286437
0.0118 6 0.00529955
0.0118 7 0.00151993
0.0118 8 0.000772579
0.0118 9 0.00116063
0.0118 10 0.000719455
0.0118 11 0.000973308
0.0118 12 0.000577618
0.0118 13 2.40684e-05
0.012 1 0.924053
0.012 2 0.923133
0.012 3 0.173159
0.012 4 0.304638
0.012 5 0.0231885
0.012 6 0.00601384
0.012 7 0.00160649
0.012 8 0.000425872
0.012 9 0.000145045
0.012 10 3.2694e-05
0.0122 1 0.468462
0.0122 2 0.468003
0.0122 3 0.0900282
0.0122 4 0.161442
0.0122 5 0.0113984
0.0122 6 0.00466454
0.0122 7 0.000927318
0.0122 8 0.00026687
0.0122 9 8.7118e-05
0.0124 1 0.272821
0.0124 2 0.272559
0.0124 3 0.0632038
0.0124 4 0.111603
0.0124 5 0.00824564
0.0124 6 0.00436569
0.0124 7 0.000727592
0.0124 8 0.000316682
0.0124 9 0.000141435
0.0124 10 3.81401e-05
0.0126 1 0.14691
0.0126 2 0.14677
0.0126 3 0.0550356
0.0126 4 0.0854029
0.0126 5 0.00550373
0.0126 6 0.00336937
0.0126 7 0.00143606
0.0126 8 0.000622295
0.0126 9 0.000140887
0.0126 10 1.66107e-05
0.0128 1 0.0506452
0.0128 2 0.0505966
0.0128 3 0.0575764
0.0128 4 0.0296498
0.0128 5 0.00262695
0.0128 6 0.00119626
0.0128 7 0.000215596
0.0128 8 8.94355e-05
0.013 1 0.087311
0.013 2 0.0872112
0.013 3 0.0694101
0.013 4 0.0614156
0.013 5 0.00145804
0.013 6 0.000956066
0.013 7 0.000342271
0.013 8 0.000168324
0.013 9 0.000102453
0.013 10 4.70398e-05
0.0132 1 0.227616
0.0132 2 0.227389
0.0132 3 0.0957874
0.0132 4 0.148101
0.0132 5 0.00504358
0.0132 6 0.00274175
0.0132 7 0.00049342
0.0132 8 0.000208208
0.0132 9 1.6158e-05
0.0134 1 0.478955
0.0134 2 0.478518
0.0134 3 0.157041
0.0134 4 0.269126
0.0134 5 0.00660876
0.0134 6 0.00318546
0.0134 7 0.000688983
0.0134 8 0.000303382
